Chain name,Master Dealer Id Intouch,Customer account,Site Code
Airplaza Retail Holdings Private Limited,26,GJ/0163,HG05
Airplaza Retail Holdings Private Limited,26,HP/0034,HI02
Airplaza Retail Holdings Private Limited,26,HP/0034-001,HI03
Airplaza Retail Holdings Private Limited,26,HP/0034-002,HI06
Airplaza Retail Holdings Private Limited,26,HP/0034-003,HI01
Airplaza Retail Holdings Private Limited,26,HP/0034-004,HI05
Airplaza Retail Holdings Private Limited,26,HP/0034-005,HI04
Airplaza Retail Holdings Private Limited,26,HP/0034-006,HI07
Airplaza Retail Holdings Private Limited,26,HP/0034-007,HI09
Airplaza Retail Holdings Private Limited,26,HP/0034-008,HI08
Airplaza Retail Holdings Private Limited,26,HP/0034-009,HI10
Airplaza Retail Holdings Private Limited,26,HP/0034-010,HI11
Airplaza Retail Holdings Private Limited,26,HR/0107-001,HH01
Airplaza Retail Holdings Private Limited,26,HR/0107-002,HH13
Airplaza Retail Holdings Private Limited,26,HR/0107-003,HH03
Airplaza Retail Holdings Private Limited,26,HR/0107-004,HH05
Airplaza Retail Holdings Private Limited,26,HR/0107-025,HH31
Airplaza Retail Holdings Private Limited,26,HR/0107-005,HH11
Airplaza Retail Holdings Private Limited,26,HR/0107-010,HH24
Airplaza Retail Holdings Private Limited,26,HR/0107-011,HH19
Airplaza Retail Holdings Private Limited,26,HR/0107-019,HH07
Airplaza Retail Holdings Private Limited,26,HR/0107-020,HH20
Airplaza Retail Holdings Private Limited,26,HR/0107-022,HH12
Airplaza Retail Holdings Private Limited,26,HR/0107-023,HH29
Airplaza Retail Holdings Private Limited,26,HR/0107-024,HH30
Airplaza Retail Holdings Private Limited,26,JK/0033,HX01
Airplaza Retail Holdings Private Limited,26,JK/0033-001,HX02
Airplaza Retail Holdings Private Limited,26,JK/0033-002,HX03
Airplaza Retail Holdings Private Limited,26,JK/0033-003,HX04
Airplaza Retail Holdings Private Limited,26,MP/0091,HY10
Airplaza Retail Holdings Private Limited,26,MP/0091-001,HY02
Airplaza Retail Holdings Private Limited,26,MP/0091-002,HY04
Airplaza Retail Holdings Private Limited,26,MP/0091-003,HY15
Airplaza Retail Holdings Private Limited,26,MP/0091-004,HY13
Airplaza Retail Holdings Private Limited,26,MP/0091-005,HY09
Airplaza Retail Holdings Private Limited,26,MP/0091-006,HY14
Airplaza Retail Holdings Private Limited,26,MP/0091-007,HY12
Airplaza Retail Holdings Private Limited,26,MP/0091-008,HY17
Airplaza Retail Holdings Private Limited,26,MP/0091-009,HY11
Airplaza Retail Holdings Private Limited,26,MP/0091-010,HY18
Airplaza Retail Holdings Private Limited,26,MP/0091-011,HY20
Airplaza Retail Holdings Private Limited,26,MP/0091-012,HY21
Airplaza Retail Holdings Private Limited,26,MP/0091-013,HY22
Airplaza Retail Holdings Private Limited,26,MP/0091-014,HY23
Airplaza Retail Holdings Private Limited,26,MP/0091-015,HY19
Airplaza Retail Holdings Private Limited,26,MP/0091-016,HY24
Airplaza Retail Holdings Private Limited,26,MP/0091-017,HY28
Airplaza Retail Holdings Private Limited,26,MP/0091-018,HY32
Airplaza Retail Holdings Private Limited,26,MP/0091-019,HY30
Airplaza Retail Holdings Private Limited,26,UL/0061,HV01
Airplaza Retail Holdings Private Limited,26,UL/0061-001,HV02
Airplaza Retail Holdings Private Limited,26,UL/0061-002,HV04
Airplaza Retail Holdings Private Limited,26,UL/0061-003,HV07
Airplaza Retail Holdings Private Limited,26,UL/0061-004,HV06
Airplaza Retail Holdings Private Limited,26,UL/0061-006,HV05
Airplaza Retail Holdings Private Limited,26,UL/0061-007,HV08
Airplaza Retail Holdings Private Limited,26,UP/0281,HU09
Airplaza Retail Holdings Private Limited,26,UP/0281-001,HU10
Airplaza Retail Holdings Private Limited,26,UP/0281-002,HU34
Airplaza Retail Holdings Private Limited,26,UP/0281-012,HU35
Airplaza Retail Holdings Private Limited,26,UP/0281-018,HU39
Airplaza Retail Holdings Private Limited,26,UP/0281-019,HU49
Airplaza Retail Holdings Private Limited,26,UP/0281-020,HU02
Airplaza Retail Holdings Private Limited,26,UP/0281-021,HU47
Airplaza Retail Holdings Private Limited,26,UP/0281-022,HU03
Airplaza Retail Holdings Private Limited,26,UP/0281-023,HU22
Airplaza Retail Holdings Private Limited,26,UP/0281-024,HU26
Airplaza Retail Holdings Private Limited,26,UP/0281-032,HU50
Airplaza Retail Holdings Private Limited,26,UP/0281-033,HU51
Airplaza Retail Holdings Private Limited,26,UP/0281-035,HU55
Airplaza Retail Holdings Private Limited,26,UP/0281-036,HU57
Airplaza Retail Holdings Private Limited,26,UP/0281-037,HU58
Airplaza Retail Holdings Private Limited,26,UP/0281-038,HU62
Airplaza Retail Holdings Private Limited,26,UP/0281-039,HU65
Airplaza Retail Holdings Private Limited,26,UP/0281-040,HU72
Airplaza Retail Holdings Private Limited,26,UP/0281-041,HU80
Airplaza Retail Holdings Private Limited,26,UP/0281-042,HU71
Airplaza Retail Holdings Private Limited,26,UP/0281-045,HU78
Airplaza Retail Holdings Private Limited,26,UP/0301,HU53
Airplaza Retail Holdings Private Limited,26,WB/0200,HW03
Airplaza Retail Holdings Private Limited,26,WB/0200-001,HW02
Airplaza Retail Holdings Private Limited,26,WB/0200-003,HW05
Airplaza Retail Holdings Private Limited,26,WB/0200-004,HW07
Airplaza Retail Holdings Private Limited,26,WB/0200-005,HW08
Airplaza Retail Holdings Private Limited,26,WB/0200-007,HW10
Airplaza Retail Holdings Private Limited,26,WB/0200-008,HW11
Airplaza Retail Holdings Private Limited,26,WB/0200-009,HW13
Airplaza Retail Holdings Private Limited,26,WB/0200-010,HW16
Airplaza Retail Holdings Private Limited,26,WB/0200-011,HW17
Airplaza Retail Holdings Private Limited,26,WB/0200-012,HW15
Airplaza Retail Holdings Private Limited,26,WB/0200-013,HW18
Airplaza Retail Holdings Private Limited,26,WB/0200-014,HW22
Airplaza Retail Holdings Private Limited,26,WB/0200-015,HW25
Airplaza Retail Holdings Private Limited,26,WB/0200-016,HW21
Airplaza Retail Holdings Private Limited,26,WB/0200-017,HW26
CESC LIMITED,,GJ/0180,V010
FIORA Hypermarket Ltd.,16,GJ/0131,T001
FIORA Hypermarket Ltd.,16,GJ/0131-0001,T012
Future Retail Limited,2,AP/0113,4747
Future Retail Limited,2,AP/0113-001,4800
Future Retail Limited,2,AP/0113-002,2628
Future Retail Limited,2,AP/0113-003,2654
Future Retail Limited,2,AP/0113-004,2623
Future Retail Limited,2,AP/0113-005,4837
Future Retail Limited,2,AP/0113-006,2696
Future Retail Limited,2,AP/0113-007,3443
Future Retail Limited,2,AS/0063-002,8335
Future Retail Limited,2,AS/0068,4813
Future Retail Limited,2,GJ/0122,4739
Future Retail Limited,2,GJ/0122-001,4765
Future Retail Limited,2,GJ/0122-002,2571
Future Retail Limited,2,GJ/0122-003,4703
Future Retail Limited,2,GJ/0122-004,4781
Future Retail Limited,2,GJ/0122-005,4793
Future Retail Limited,2,GJ/0122-006,4757
Future Retail Limited,2,GJ/0122-007,4704
Future Retail Limited,2,GJ/0122-008,4957
Future Retail Limited,2,GJ/0122-009,2568
Future Retail Limited,2,GJ/0122-010,2910
Future Retail Limited,2,GJ/0122-011,2946
Future Retail Limited,2,GJ/0122-012,5544
Future Retail Limited,2,GJ/0122-013,5534
Future Retail Limited,2,GJ/0122-015,8826
Future Retail Limited,2,GJ/0122-016,513
Future Retail Limited,2,KA/0137-003,4981
Future Retail Limited,2,KA/0137-004,4947
Future Retail Limited,2,KA/0137-005,4780
Future Retail Limited,2,KA/0137-007,4993
Future Retail Limited,2,KA/0137-008,2509
Future Retail Limited,2,KA/0137-009,3688
Future Retail Limited,2,KA/0137-012,4803
Future Retail Limited,2,KA/0137-013,3687
Future Retail Limited,2,KA/0137-014,4763
Future Retail Limited,2,KA/0137-016,2657
Future Retail Limited,2,KA/0137-017,4826
Future Retail Limited,2,KA/0137-018,4705
Future Retail Limited,2,KA/0137-019,4796
Future Retail Limited,2,KA/0137-021,2574
Future Retail Limited,2,KA/0137-026,4830
Future Retail Limited,2,KA/0137-028,4731
Future Retail Limited,2,KL/0050-009,8374
Future Retail Limited,2,MH/0309-0010,4984
Future Retail Limited,2,MH/0309-0011,4985
Future Retail Limited,2,MH/0309-0016,4828
Future Retail Limited,2,MH/0309-0017,2502
Future Retail Limited,2,MH/0309-0018,4759
Future Retail Limited,2,MH/0309-0019,2613
Future Retail Limited,2,MH/0309-0020,3693
Future Retail Limited,2,MH/0309-0021,2961
Future Retail Limited,2,MH/0309-003,4790
Future Retail Limited,2,MH/0309-004,4713
Future Retail Limited,2,MH/0309-007,4819
Future Retail Limited,2,MH/0309-010,2993
Future Retail Limited,2,MH/0309-011,8828
Future Retail Limited,2,MP/0069,2655
Future Retail Limited,2,MP/0069-001,2639
Future Retail Limited,2,MP/0069-002,4807
Future Retail Limited,2,MP/0069-003,2906
Future Retail Limited,2,MP/0069-004,2606
Future Retail Limited,2,MP/0069-005,4827
Future Retail Limited,2,MP/0069-006,2959
Future Retail Limited,2,MP/0069-009,2503
Future Retail Limited,2,MP/0069-010,8827
Future Retail Limited,2,TG/0002-001,4709
Future Retail Limited,2,TG/0002-009,8724
Future Retail Limited,2,TG/0002-010,5536
Future Retail Limited,2,UL/0066,2602
Future Retail Limited,2,UL/0066-0001,2583
Future Retail Limited,2,UL/0066-0002,4838
Future Retail Limited,2,UL/0066-0003,2963
Future Retail Limited,2,UP/0226,8341
Future Retail Limited,2,UP/0228,4711
Future Retail Limited,2,UP/0228-001,4740
Future Retail Limited,2,UP/0228-002,4874
Future Retail Limited,2,UP/0228-004,4776
Future Retail Limited,2,UP/0228-005,2593
Future Retail Limited,2,UP/0228-006,2672
Future Retail Limited,2,UP/0228-007,3682
Future Retail Limited,2,UP/0228-008,3683
Future Retail Limited,2,UP/0228-009,2658
Future Retail Limited,2,UP/0228-010,3685
Future Retail Limited,2,UP/0228-011,4840
Future Retail Limited,2,UP/0228-012,8800
Future Retail Limited,2,UP/0228-014,512
Future Retail Limited,2,UP/0243,5547
Future Retail Limited,2,WB/0101,2518
Future Retail Limited,2,WB/0101-001,4769
Future Retail Limited,2,WB/0101-0011,4973
Future Retail Limited,2,WB/0101-0012,4956
Future Retail Limited,2,WB/0101-0013,4849
Future Retail Limited,2,WB/0101-0014,4951
Future Retail Limited,2,WB/0101-0015,2566
Future Retail Limited,2,WB/0101-0016,2506
Future Retail Limited,2,WB/0101-0017,2576
